Unix,Date,Symbol,Open,High,Low,Close,Volume FET,Volume USDT,tradecount
1721692800000,2024-07-23,FETUSDT,1.37,1.4,1.273,1.29,35531697.6,47183459.3728,128196
1721606400000,2024-07-22,FETUSDT,1.489,1.499,1.365,1.37,24059933.6,34122910.9329,111292
1721433600000,2024-07-20,FETUSDT,1.473,1.509,1.427,1.46,20461711.1,30016248.8496,102665
1721347200000,2024-07-19,FETUSDT,1.403,1.495,1.362,1.472,32836942.6,47009180.0561,161210
1721260800000,2024-07-18,FETUSDT,1.453,1.501,1.37,1.404,31922696.3,45639216.3312,164523
1721174400000,2024-07-17,FETUSDT,1.43,1.556,1.417,1.453,54877743.6,81800246.7042,258284
1721088000000,2024-07-16,FETUSDT,1.421,1.49,1.314,1.43,56246780.4,78205482.3931,289687
1721001600000,2024-07-15,FETUSDT,1.247,1.438,1.238,1.421,56030443.5,74330175.4305,242975
1720915200000,2024-07-14,FETUSDT,1.164,1.269,1.164,1.247,28365717.1,34326498.4542,116101
1720828800000,2024-07-13,FETUSDT,1.19,1.218,1.137,1.165,18021818.8,21180069.575,76660
1720742400000,2024-07-12,FETUSDT,1.146,1.192,1.101,1.189,25895076.3,29514905.9479,111472
1720656000000,2024-07-11,FETUSDT,1.194,1.236,1.137,1.147,27583871.5,32915033.6459,121514
1720569600000,2024-07-10,FETUSDT,1.205,1.243,1.175,1.193,33468465.2,40474077.6656,123095
1720483200000,2024-07-09,FETUSDT,1.158,1.213,1.133,1.204,26222467.7,30843785.3001,115669
1720396800000,2024-07-08,FETUSDT,1.114,1.25,1.057,1.158,51046550.5,59092629.3669,228732
1720310400000,2024-07-07,FETUSDT,1.23,1.24,1.107,1.115,28420717.9,33447349.4131,132315
1720224000000,2024-07-06,FETUSDT,1.163,1.286,1.143,1.229,37974884.5,46688932.6315,174975
1720137600000,2024-07-05,FETUSDT,1.231,1.232,1.054,1.163,64619162.5,74190940.93976,297200
1720051200000,2024-07-04,FETUSDT,1.251,1.294,1.157,1.231,39448223.1,48211794.117,197363
1719964800000,2024-07-03,FETUSDT,1.321,1.331,1.216,1.251,31543966.5,39979920.2702,182906
1719878400000,2024-07-02,FETUSDT,1.295,1.37,1.257,1.32,24493490.6,32557048.3675,161604
1719792000000,2024-07-01,FETUSDT,1.431,1.5,1.288,1.296,33839925.2,47121198.3615,224788
1719705600000,2024-06-30,FETUSDT,1.346,1.457,1.324,1.431,34481485.1,48089907.7561,216029
1719619200000,2024-06-29,FETUSDT,1.409,1.449,1.343,1.346,22665075.9,31683270.3033,123541
1719532800000,2024-06-28,FETUSDT,1.545,1.56,1.386,1.41,45725612.4,66928341.4967,278218
1719446400000,2024-06-27,FETUSDT,1.772,1.784,1.492,1.546,67587506.2,107725921.7928,407474
1719360000000,2024-06-26,FETUSDT,1.588,1.86,1.582,1.773,56727953.9,98870442.8362,385980
1719273600000,2024-06-25,FETUSDT,1.632,1.715,1.569,1.587,42420286.1,70011722.8697,284593
1719187200000,2024-06-24,FETUSDT,1.401,1.707,1.345,1.633,55696802.8,82414571.0049,370143
1719100800000,2024-06-23,FETUSDT,1.472,1.526,1.396,1.401,23304431.5,34119281.8645,146707
1719014400000,2024-06-22,FETUSDT,1.589,1.59,1.46,1.471,22588581.1,34283137.2636,165313
1718928000000,2024-06-21,FETUSDT,1.607,1.633,1.527,1.589,40815523.7,64168463.9027,270626
1718841600000,2024-06-20,FETUSDT,1.505,1.748,1.472,1.608,104603800.1,169369225.0577,582075
1718755200000,2024-06-19,FETUSDT,1.194,1.515,1.175,1.505,67740145.4,92971298.0158,350614
1718668800000,2024-06-18,FETUSDT,1.32,1.327,1.104,1.194,51723069.5,60973713.23573,267683
1718582400000,2024-06-17,FETUSDT,1.473,1.491,1.223,1.319,53278336.1,70203447.32204,278920
1718496000000,2024-06-16,FETUSDT,1.46,1.494,1.424,1.473,10239787.2,14920269.1571,75629
1718409600000,2024-06-15,FETUSDT,1.479,1.508,1.451,1.459,12637417.6,18711228.8068,83287
1718323200000,2024-06-14,FETUSDT,1.589,1.656,1.388,1.48,29745247.7,45572990.29954,222547
1718236800000,2024-06-13,FETUSDT,1.716,1.73,1.562,1.588,19522282.3,31878309.1896,151463
1718150400000,2024-06-12,FETUSDT,1.536,1.756,1.465,1.717,42462791.6,69934541.31445,261557
1718064000000,2024-06-11,FETUSDT,1.659,1.719,1.505,1.537,41142782.9,66326009.8152,257802
1717977600000,2024-06-10,FETUSDT,1.738,1.75,1.6283,1.659,24125694.9,40819930.40386,150819
1717891200000,2024-06-09,FETUSDT,1.745,1.774,1.716,1.737,11838881.7,20634289.6537,75501
1717804800000,2024-06-08,FETUSDT,1.85,1.866,1.7,1.745,22930493.0,40526008.9965,136020
1717718400000,2024-06-07,FETUSDT,2.043,2.06,1.65,1.849,52672417.3,99421347.21424,299105
1717632000000,2024-06-06,FETUSDT,2.156,2.17,2.013,2.044,14994804.3,31413234.19578,96593
1717545600000,2024-06-05,FETUSDT,2.125,2.221,2.125,2.156,17965963.3,38895500.7511,114348
1717459200000,2024-06-04,FETUSDT,2.138,2.174,2.079,2.125,13100272.6,27778123.4143,91126
1717372800000,2024-06-03,FETUSDT,2.085,2.196,2.049,2.139,16772182.6,36037644.9071,100826
1717286400000,2024-06-02,FETUSDT,2.11,2.138,2.042,2.085,9529048.7,19963982.04657,59891
1717200000000,2024-06-01,FETUSDT,2.139,2.147,2.093,2.111,7856994.4,16601553.4358,46027
1717113600000,2024-05-31,FETUSDT,2.185,2.21,2.066,2.138,16455689.1,35369319.76139,87812
1717027200000,2024-05-30,FETUSDT,2.194,2.295,2.1084,2.184,24137210.2,53475069.84065,128217
1716940800000,2024-05-29,FETUSDT,2.235,2.347,2.184,2.195,23484733.3,53131968.2749,118588
1716854400000,2024-05-28,FETUSDT,2.301,2.306,2.1772,2.235,16357746.7,36585757.47721,97525
1716768000000,2024-05-27,FETUSDT,2.236,2.336,2.221,2.303,15473093.5,35241853.7055,87766
1716681600000,2024-05-26,FETUSDT,2.294,2.328,2.2,2.235,11156821.3,25182339.68013,66518
1716595200000,2024-05-25,FETUSDT,2.308,2.364,2.279,2.295,9151890.7,21198815.2279,56162
1716508800000,2024-05-24,FETUSDT,2.363,2.411,2.25,2.31,14449272.2,33471755.0592,93887
1716422400000,2024-05-23,FETUSDT,2.5382,2.561,2.2183,2.362,34473148.1,83055105.86254,264912
1716336000000,2024-05-22,FETUSDT,2.5283,2.71,2.4744,2.5385,46951470.5,120929792.0264,532362
1716249600000,2024-05-21,FETUSDT,2.4253,2.566,2.3751,2.5282,38256801.8,95400669.18419,384725
1716163200000,2024-05-20,FETUSDT,2.1992,2.4403,2.161,2.4251,34090699.4,78900220.61877,338173
1716076800000,2024-05-19,FETUSDT,2.2774,2.3104,2.1821,2.1995,13293825.0,29819450.3021,120957
1715990400000,2024-05-18,FETUSDT,2.3467,2.4255,2.2619,2.2773,16521185.1,38507580.27972,158530
1715904000000,2024-05-17,FETUSDT,2.2821,2.3859,2.2236,2.3467,24682250.7,56912239.38726,239253
1715817600000,2024-05-16,FETUSDT,2.2563,2.3393,2.16,2.2826,31322656.0,70618133.96176,285984
1715731200000,2024-05-15,FETUSDT,2.0028,2.2748,1.9737,2.2567,34937198.1,75071724.64813,297905
1715644800000,2024-05-14,FETUSDT,2.1232,2.1388,1.9816,2.002,22765301.5,46789940.18695,202918
1715558400000,2024-05-13,FETUSDT,2.1685,2.2235,2.0205,2.1234,25873344.1,54993855.97675,259379
1715472000000,2024-05-12,FETUSDT,2.192,2.2404,2.15,2.1673,10937165.8,24034255.4835,93349
1715385600000,2024-05-11,FETUSDT,2.2092,2.2626,2.179,2.192,13827095.2,30741900.49376,137849
1715299200000,2024-05-10,FETUSDT,2.2624,2.362,2.1321,2.2091,30124997.0,67687148.23079,276380
1715212800000,2024-05-09,FETUSDT,2.1528,2.3079,2.1291,2.2618,27453765.0,60841759.71897,278787
1715126400000,2024-05-08,FETUSDT,2.3359,2.4079,2.124,2.1534,28615786.6,64357612.3448,287390
1715040000000,2024-05-07,FETUSDT,2.378,2.4995,2.3345,2.3359,28903034.6,70063172.86985,305837
1714953600000,2024-05-06,FETUSDT,2.3611,2.5238,2.3159,2.3783,41851160.4,100827614.11874,429899
1714867200000,2024-05-05,FETUSDT,2.1589,2.3856,2.1044,2.3614,36653911.8,82988029.01505,344642
1714780800000,2024-05-04,FETUSDT,2.1717,2.2476,2.1336,2.159,20875333.2,45578775.35681,191627
