Unix,Date,Symbol,Open,High,Low,Close,Volume ROSE,Volume USDT,tradecount
1720051200000,2024-07-04,ROSEUSDT,0.09287,0.09328,0.08291,0.08403,84919959.7,7410385.170844,64510
1719964800000,2024-07-03,ROSEUSDT,0.10246,0.10377,0.0922,0.09291,76650355.0,7485147.621026,59233
1719878400000,2024-07-02,ROSEUSDT,0.09767,0.10275,0.09578,0.10249,48712610.8,4813564.266184,35869
1719792000000,2024-07-01,ROSEUSDT,0.09961,0.1035,0.09742,0.09764,95248362.9,9537021.715947,68947
1719705600000,2024-06-30,ROSEUSDT,0.09572,0.10076,0.09411,0.09956,63841337.0,6231972.248612,45110
1719619200000,2024-06-29,ROSEUSDT,0.09672,0.09851,0.09508,0.09572,40288889.8,3886898.97484,25095
1719532800000,2024-06-28,ROSEUSDT,0.09727,0.101,0.09615,0.09674,76083652.0,7483376.929458,53333
1719446400000,2024-06-27,ROSEUSDT,0.09228,0.0982,0.08994,0.09734,73650248.9,6966750.848405,51837
1719360000000,2024-06-26,ROSEUSDT,0.0928,0.09392,0.08802,0.09229,103797627.0,9383386.637787,65628
1719273600000,2024-06-25,ROSEUSDT,0.09181,0.09424,0.08999,0.09283,57345536.9,5279742.143244,33202
1719187200000,2024-06-24,ROSEUSDT,0.08987,0.09239,0.08253,0.09184,102192035.1,8994769.932821,66906
1719100800000,2024-06-23,ROSEUSDT,0.09115,0.09294,0.08746,0.08991,46573837.2,4205025.636564,29468
1719014400000,2024-06-22,ROSEUSDT,0.09193,0.09325,0.0899,0.09116,39008555.8,3569699.845236,26627
1718928000000,2024-06-21,ROSEUSDT,0.09408,0.09569,0.09104,0.09194,73349042.9,6858104.608355,46447
1718841600000,2024-06-20,ROSEUSDT,0.0962,0.10235,0.09257,0.0939,134732981.5,13243909.314907,84552
1718755200000,2024-06-19,ROSEUSDT,0.09634,0.09989,0.09486,0.09625,92751537.3,9033905.418039,59989
1718668800000,2024-06-18,ROSEUSDT,0.10157,0.10229,0.089,0.09633,166128729.5,15870859.128576,110741
1718582400000,2024-06-17,ROSEUSDT,0.11755,0.11805,0.10088,0.10159,157919818.7,16966651.311288,125263
1718496000000,2024-06-16,ROSEUSDT,0.12034,0.12418,0.11499,0.11755,99774974.7,11877200.574584,87543
1718409600000,2024-06-15,ROSEUSDT,0.11589,0.1269,0.11469,0.12031,143102077.9,17412041.038183,126729
1718323200000,2024-06-14,ROSEUSDT,0.12078,0.1341,0.11368,0.1159,226532539.5,27861636.024428,210786
1718236800000,2024-06-13,ROSEUSDT,0.1295,0.13259,0.117,0.12073,198034975.2,24737174.312127,169269
