Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1715644800000,2024-05-14,ETHUSDT,2950.99,2960.6,2862.0,2881.93,2.696.753.037,783.471.918.254.666,617845
1715558400000,2024-05-13,ETHUSDT,2929.3,2996.4,2864.76,2950.99,3.686.647.648,1.083.553.488.623.210,925017
1715472000000,2024-05-12,ETHUSDT,2912.45,2955.2,2901.17,2929.29,1.076.706.323,315.212.004.622.529,367990
1715385600000,2024-05-11,ETHUSDT,2909.98,2945.67,2886.46,2912.45,1.381.631.087,402.989.065.566.229,466357
1715299200000,2024-05-10,ETHUSDT,3036.24,3053.89,2878.03,2909.99,3.278.558.758,9.722.648.694.920.490,891040
1715212800000,2024-05-09,ETHUSDT,2974.2,3059.0,2950.77,3036.23,2.385.617.462,715.090.822.076.205,686147
1715126400000,2024-05-08,ETHUSDT,3005.69,3038.15,2936.48,2974.21,2.669.348.125,8.004.600.766.356.670,830635
1715040000000,2024-05-07,ETHUSDT,3062.59,3129.85,2998.0,3005.69,2.987.966.829,9.172.520.456.882.030,815246
1714953600000,2024-05-06,ETHUSDT,3136.4,3221.4,3046.35,3062.6,3.551.353.027,1.111.315.631.576.410,873200
1714867200000,2024-05-05,ETHUSDT,3117.24,3171.93,3072.99,3136.41,2.187.602.662,684.143.592.814.579,600693
1714780800000,2024-05-04,ETHUSDT,3102.61,3168.0,3092.85,3117.23,1.962.639.488,613.297.368.100.618,575026
1714694400000,2024-05-03,ETHUSDT,2986.19,3126.99,2958.32,3102.61,3.558.258.391,1.081.409.861.154.120,859542
1714608000000,2024-05-02,ETHUSDT,2972.46,3016.72,2893.26,2986.19,3.659.397.191,1.084.862.887.847.940,880167
1714521600000,2024-05-01,ETHUSDT,3014.04,3023.24,2817.0,2972.46,6.249.637.773,1.827.523.436.860.290,1365039
1714435200000,2024-04-30,ETHUSDT,3216.74,3250.95,2921.0,3014.05,5.617.174.866,1.710.124.473.495.700,1292873
1714348800000,2024-04-29,ETHUSDT,3263.44,3286.95,3115.13,3216.73,4.218.312.912,1.345.237.182.553.420,943719
1714262400000,2024-04-28,ETHUSDT,3255.55,3357.4,3250.45,3263.45,304.766.009,10.066.283.322.900.400,753239
1714176000000,2024-04-27,ETHUSDT,3131.3,3285.0,3066.74,3255.56,3.238.111.919,1.027.413.859.249.450,734026
1714089600000,2024-04-26,ETHUSDT,3155.81,3167.7,3102.0,3131.3,252.522.655,7.922.555.078.625.580,628635
1714003200000,2024-04-25,ETHUSDT,3140.79,3191.64,3072.2,3155.8,3.522.885.502,1.104.939.534.274.990,861077
1713916800000,2024-04-24,ETHUSDT,3219.46,3293.56,3104.9,3140.8,3.933.143.414,1.261.617.674.785.290,1130370
1713830400000,2024-04-23,ETHUSDT,3200.19,3263.61,3152.0,3219.46,2.539.142.263,8.137.985.163.203.850,844893
1713744000000,2024-04-22,ETHUSDT,3147.66,3235.0,3129.15,3200.2,2.908.799.569,9.289.573.853.802.300,993579
1713657600000,2024-04-21,ETHUSDT,3155.79,3197.18,3116.49,3147.67,2.199.705.072,694.988.777.191.024,767260
1713571200000,2024-04-20,ETHUSDT,3056.45,3171.88,3018.75,3155.79,2.425.776.371,7.497.279.183.962.570,812118
1713484800000,2024-04-19,ETHUSDT,3064.4,3128.89,2865.18,3056.46,6.078.504.019,1.843.119.282.769.540,1465901
1713398400000,2024-04-18,ETHUSDT,2985.41,3094.4,2950.98,3064.4,3.890.607.133,1.177.977.125.358.130,1168254
1713312000000,2024-04-17,ETHUSDT,3084.21,3123.75,2914.47,2985.41,4.918.975.661,1.483.253.378.358.150,1348404
1713225600000,2024-04-16,ETHUSDT,3102.0,3128.01,2986.0,3084.22,526.113.855,1.610.290.812.173.090,1461779
1713139200000,2024-04-15,ETHUSDT,3155.11,3277.85,3023.19,3101.99,6.054.308.863,1.911.310.147.230.660,1540774
1713052800000,2024-04-14,ETHUSDT,3007.01,3174.23,2906.73,3155.11,7.375.804.666,2.244.354.713.135.610,1680666
1712966400000,2024-04-13,ETHUSDT,3237.42,3301.9,2852.0,3007.01,9.949.712.354,3.066.250.202.835.820,2037632
1712880000000,2024-04-12,ETHUSDT,3502.52,3552.4,3100.0,3237.43,6.973.271.174,23.281.971.774.204.900,1423600
1712793600000,2024-04-11,ETHUSDT,3545.64,3618.3,3474.52,3502.52,3.381.395.534,1.197.654.094.446.200,890107
1712707200000,2024-04-10,ETHUSDT,3506.4,3562.95,3411.82,3545.64,3.894.049.055,13.614.011.954.317.800,915957
1712620800000,2024-04-09,ETHUSDT,3694.61,3727.34,3450.46,3506.39,457.592.252,164.361.085.175.092,1046479
1712534400000,2024-04-08,ETHUSDT,3454.2,3730.71,3406.36,3694.61,4.968.413.532,1.787.240.600.808.650,1333378
1712448000000,2024-04-07,ETHUSDT,3351.59,3459.94,3344.08,3454.2,2.104.590.752,715.174.110.573.835,748530
1712361600000,2024-04-06,ETHUSDT,3317.85,3398.42,3306.68,3351.59,1.833.122.125,612.681.489.148.954,549985
1712275200000,2024-04-05,ETHUSDT,3327.39,3350.0,3210.0,3317.85,3.445.567.983,1.132.252.495.889.120,854139
1712188800000,2024-04-04,ETHUSDT,3310.83,3443.93,3250.92,3327.4,3.563.385.716,1.187.792.289.214.370,965695
1712102400000,2024-04-03,ETHUSDT,3278.96,3367.4,3202.79,3310.83,4.104.841.933,1.358.993.604.798.610,1113644
1712016000000,2024-04-02,ETHUSDT,3503.8,3505.6,3212.0,3278.96,6.232.646.476,2.068.004.456.062.820,1581408
1711929600000,2024-04-01,ETHUSDT,3645.29,3645.95,3413.71,3503.8,4.088.541.225,14.376.917.290.323.100,1115133
1711843200000,2024-03-31,ETHUSDT,3505.65,3655.32,3505.09,3645.29,2.434.649.877,8.781.416.543.459.820,722927
1711756800000,2024-03-30,ETHUSDT,3509.74,3565.81,3485.0,3505.64,2.160.252.634,759.625.521.451.892,750249
1711670400000,2024-03-29,ETHUSDT,3560.49,3584.37,3445.91,3509.74,323.086.179,1.138.548.291.158.380,951744
1711584000000,2024-03-28,ETHUSDT,3501.2,3611.78,3465.0,3560.49,4.046.540.311,1.436.630.524.623.040,1158353
1711497600000,2024-03-27,ETHUSDT,3587.32,3665.84,3460.02,3501.19,4.431.953.297,1.576.098.628.307.970,1436593
1711411200000,2024-03-26,ETHUSDT,3590.43,3678.86,3542.62,3587.33,4.990.138.384,1.800.812.035.846.220,1373691
1711324800000,2024-03-25,ETHUSDT,3454.99,3666.0,3420.12,3590.42,5.485.776.942,194.537.774.866.027,1610130
1711238400000,2024-03-24,ETHUSDT,3329.53,3471.22,3298.76,3454.98,2.608.241.408,8.790.330.730.314.540,1090982
1711152000000,2024-03-23,ETHUSDT,3336.35,3435.48,3270.08,3329.53,3.236.759.448,1.089.778.379.601.220,1129683
1711065600000,2024-03-22,ETHUSDT,3492.84,3542.52,3250.0,3336.35,558.848.888,18.917.716.410.190.000,1747756
1710979200000,2024-03-21,ETHUSDT,3516.53,3587.32,3412.0,3492.85,6.027.552.072,21.140.848.581.565.300,1791989
1710892800000,2024-03-20,ETHUSDT,3158.65,3535.24,3056.56,3516.53,12.073.228.201,39.572.514.288.990.400,2987953
1710806400000,2024-03-19,ETHUSDT,3520.47,3548.09,3150.88,3158.64,10.496.296.936,3.474.307.712.276.450,2647385
1710720000000,2024-03-18,ETHUSDT,3644.7,3645.02,3454.09,3520.46,5.709.012.851,2.029.690.613.721.460,1906387
1710633600000,2024-03-17,ETHUSDT,3523.09,3678.68,3412.0,3644.71,5.177.909.936,18.434.877.646.213.100,1721355
1710547200000,2024-03-16,ETHUSDT,3742.19,3781.12,3468.8,3523.09,5.482.881.569,19.991.768.813.126.100,1798939
1710460800000,2024-03-15,ETHUSDT,3881.69,3934.02,3570.0,3742.19,9.475.374.071,3.513.477.459.320.440,2487337
1710374400000,2024-03-14,ETHUSDT,4004.79,4010.98,3723.0,3881.7,6.482.375.245,25.200.079.516.912,1919963
1710288000000,2024-03-13,ETHUSDT,3979.97,4083.0,3932.23,4004.79,4.823.057.766,19.339.093.903.021.200,1536498
1710201600000,2024-03-12,ETHUSDT,4064.8,4093.92,3828.98,3979.96,6.327.873.941,252.247.587.308.181,1878541
1710115200000,2024-03-11,ETHUSDT,3878.47,4086.23,3722.95,4064.8,7.215.545.139,28.741.191.543.033.500,1894504
1710028800000,2024-03-10,ETHUSDT,3905.2,3964.67,3791.26,3878.47,356664.68,139.341.565.398.342,1195480
