Unix,Date,Symbol,Open,High,Low,Close,Volume ALICE,Volume USDT,tradecount
1716336000000,2024-05-22,ALICEUSDT,1.281,1.309,1.249,1.278,1284269.33,1644806.61408,17250
1716249600000,2024-05-21,ALICEUSDT,1.258,1.316,1.245,1.281,1781447.89,2282280.90967,21576
1716163200000,2024-05-20,ALICEUSDT,1.149,1.265,1.129,1.258,1910206.23,2329072.61339,24337
1716076800000,2024-05-19,ALICEUSDT,1.197,1.206,1.14,1.149,746566.62,875451.11857,11290
1715990400000,2024-05-18,ALICEUSDT,1.205,1.218,1.178,1.197,530173.35,636695.1926,9216
1715904000000,2024-05-17,ALICEUSDT,1.17,1.239,1.157,1.206,1036252.67,1247427.07785,14699
1715817600000,2024-05-16,ALICEUSDT,1.164,1.188,1.132,1.169,1015010.23,1184585.72733,13799
1715731200000,2024-05-15,ALICEUSDT,1.093,1.172,1.081,1.164,1663259.92,1881914.55125,17287
1715644800000,2024-05-14,ALICEUSDT,1.124,1.136,1.09,1.093,1334808.59,1486631.11216,19251
1715558400000,2024-05-13,ALICEUSDT,1.118,1.153,1.06,1.125,1489232.97,1655544.61633,19624
1715472000000,2024-05-12,ALICEUSDT,1.134,1.16,1.117,1.118,874761.81,997196.78279,10941
1715385600000,2024-05-11,ALICEUSDT,1.161,1.187,1.124,1.133,792650.75,921261.87556,10322
1715299200000,2024-05-10,ALICEUSDT,1.222,1.236,1.143,1.161,1507458.84,1796732.37332,19829
1715212800000,2024-05-09,ALICEUSDT,1.172,1.228,1.136,1.222,1225160.95,1445217.71022,16611
1715126400000,2024-05-08,ALICEUSDT,1.177,1.243,1.141,1.172,2409162.15,2842364.85447,28239
1715040000000,2024-05-07,ALICEUSDT,1.209,1.24,1.176,1.178,1540696.89,1865402.89825,17513
1714953600000,2024-05-06,ALICEUSDT,1.247,1.289,1.205,1.209,1365738.91,1690785.35754,19929
1714867200000,2024-05-05,ALICEUSDT,1.222,1.278,1.196,1.247,1142713.48,1411195.56863,16056
1714780800000,2024-05-04,ALICEUSDT,1.249,1.259,1.22,1.222,1013885.23,1253987.20857,13853
1714694400000,2024-05-03,ALICEUSDT,1.205,1.264,1.169,1.25,1162971.12,1410409.57798,18390
1714608000000,2024-05-02,ALICEUSDT,1.183,1.221,1.14,1.204,1163378.67,1375038.02932,15050
1714521600000,2024-05-01,ALICEUSDT,1.2,1.209,1.086,1.182,3127590.5,3569530.69671,31805
1714435200000,2024-04-30,ALICEUSDT,1.286,1.31,1.157,1.2,1834901.07,2228525.37636,19739
1714348800000,2024-04-29,ALICEUSDT,1.277,1.302,1.234,1.287,1207172.84,1528717.2704,13771
1714262400000,2024-04-28,ALICEUSDT,1.29,1.349,1.271,1.277,1318925.08,1726425.0454,14953
1714176000000,2024-04-27,ALICEUSDT,1.27,1.293,1.204,1.29,867414.16,1088467.65271,14086
1714089600000,2024-04-26,ALICEUSDT,1.296,1.304,1.246,1.268,853611.64,1089912.85654,12735
1714003200000,2024-04-25,ALICEUSDT,1.29,1.317,1.242,1.296,1821340.16,2325510.20651,18001
1713916800000,2024-04-24,ALICEUSDT,1.368,1.417,1.275,1.289,2086237.18,2834043.15703,24659
1713830400000,2024-04-23,ALICEUSDT,1.375,1.398,1.337,1.368,1424789.86,1950506.27234,17157
1713744000000,2024-04-22,ALICEUSDT,1.373,1.403,1.349,1.378,1795791.45,2467918.60657,22462
1713657600000,2024-04-21,ALICEUSDT,1.399,1.409,1.333,1.374,1266245.7,1739080.65695,16355
1713571200000,2024-04-20,ALICEUSDT,1.27,1.408,1.253,1.397,1295235.4,1724258.57978,17318
1713484800000,2024-04-19,ALICEUSDT,1.24,1.308,1.138,1.271,2010614.85,2501498.87706,22011
1713398400000,2024-04-18,ALICEUSDT,1.185,1.254,1.154,1.24,1513129.11,1829707.25511,17966
1713312000000,2024-04-17,ALICEUSDT,1.208,1.22,1.122,1.186,2437739.74,2864859.88122,20962
1713225600000,2024-04-16,ALICEUSDT,1.18,1.232,1.127,1.208,2289953.99,2712426.60622,22696
1713139200000,2024-04-15,ALICEUSDT,1.255,1.319,1.142,1.179,2489042.98,3061123.14537,27506
1713052800000,2024-04-14,ALICEUSDT,1.145,1.271,1.094,1.256,3158037.24,3760998.35055,33278
1712966400000,2024-04-13,ALICEUSDT,1.403,1.403,1.0,1.146,7397101.88,8852413.84605,78886
1712880000000,2024-04-12,ALICEUSDT,1.778,1.816,1.255,1.404,4325614.91,6414765.30816,50836
1712793600000,2024-04-11,ALICEUSDT,1.801,1.866,1.759,1.777,1097465.13,1981804.24557,15147
1712707200000,2024-04-10,ALICEUSDT,1.848,1.861,1.7,1.801,1490998.71,2649362.53835,19304
