Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1721692800000,2024-07-23,SANDUSDT,0.3319,0.338,0.316,0.3208,10138735.0,3309119.1495,20662
1721606400000,2024-07-22,SANDUSDT,0.3482,0.3495,0.3285,0.332,8395356.0,2835165.7056,15515
1721433600000,2024-07-20,SANDUSDT,0.3411,0.35,0.3383,0.3458,9348496.0,3219806.0734,16714
1721347200000,2024-07-19,SANDUSDT,0.3217,0.3441,0.3156,0.3412,14509919.0,4789770.5571,30773
1721260800000,2024-07-18,SANDUSDT,0.3336,0.3484,0.3156,0.3217,19203789.0,6405379.7591,37246
1721174400000,2024-07-17,SANDUSDT,0.3359,0.3455,0.3326,0.3335,10653345.0,3618129.2094,24616
1721088000000,2024-07-16,SANDUSDT,0.3396,0.3437,0.3232,0.3358,12078115.0,4043825.2977,31435
1721001600000,2024-07-15,SANDUSDT,0.3237,0.3424,0.3227,0.3397,10725709.0,3529590.6073,23995
1720915200000,2024-07-14,SANDUSDT,0.3167,0.3263,0.3127,0.3237,8408670.0,2676494.7871,21325
1720828800000,2024-07-13,SANDUSDT,0.3118,0.3186,0.3094,0.3167,6062480.0,1906622.4609,15507
1720742400000,2024-07-12,SANDUSDT,0.2989,0.3119,0.2961,0.3117,6905202.0,2089827.7181,16199
1720656000000,2024-07-11,SANDUSDT,0.301,0.3107,0.2968,0.2989,9351606.0,2833317.9849,23464
1720569600000,2024-07-10,SANDUSDT,0.297,0.3051,0.2932,0.3012,11200222.0,3357737.2233,30501
1720483200000,2024-07-09,SANDUSDT,0.2911,0.2986,0.2888,0.297,14910608.0,4386998.7617,33768
1720396800000,2024-07-08,SANDUSDT,0.2839,0.3042,0.2704,0.2911,21696382.0,6302598.2532,46833
1720310400000,2024-07-07,SANDUSDT,0.3046,0.3054,0.2821,0.2839,10618752.0,3149996.3438,23722
1720224000000,2024-07-06,SANDUSDT,0.2809,0.3058,0.2784,0.3045,13144065.0,3813041.9985,23943
1720137600000,2024-07-05,SANDUSDT,0.2819,0.2852,0.2454,0.2809,53608669.1,14096455.977,97765
1720051200000,2024-07-04,SANDUSDT,0.3137,0.3164,0.2794,0.2819,23131997.0,6869154.763,46320
