Unix,Date,Symbol,Open,High,Low,Close,Volume EGLD,Volume USDT,tradecount
1716422400000,2024-05-23,EGLDUSDT,39.13,39.85,36.78,38.42,231578.16,8906066.0267,54607
1716336000000,2024-05-22,EGLDUSDT,40.88,40.97,38.87,39.15,188491.17,7500421.9382,53451
1716249600000,2024-05-21,EGLDUSDT,41.13,42.91,40.68,40.88,241403.82,10101197.4302,67931
1716163200000,2024-05-20,EGLDUSDT,37.96,41.2,37.23,41.12,190482.32,7442391.5491,58647
1716076800000,2024-05-19,EGLDUSDT,40.4,40.6,37.82,37.98,117023.74,4565428.2728,38254
1715990400000,2024-05-18,EGLDUSDT,40.58,40.91,40.11,40.38,66555.77,2697669.8832,22221
1715904000000,2024-05-17,EGLDUSDT,39.99,40.96,39.58,40.57,107060.22,4328254.4373,29444
1715817600000,2024-05-16,EGLDUSDT,40.28,41.12,39.5,39.99,105360.51,4244594.2417,36635
1715731200000,2024-05-15,EGLDUSDT,37.57,40.42,37.23,40.29,139209.52,5436625.5082,37892
1715644800000,2024-05-14,EGLDUSDT,38.54,38.81,37.06,37.56,123288.93,4681172.4392,35970
1715558400000,2024-05-13,EGLDUSDT,38.56,39.5,37.14,38.55,125814.84,4838304.1104,33013
1715472000000,2024-05-12,EGLDUSDT,39.21,39.94,38.26,38.56,69157.69,2705380.8957,21475
1715385600000,2024-05-11,EGLDUSDT,39.65,40.43,39.16,39.28,65004.4,2588565.5521,19321
1715299200000,2024-05-10,EGLDUSDT,40.82,41.8,39.27,39.66,149277.87,6051406.8524,41119
1715212800000,2024-05-09,EGLDUSDT,40.08,41.01,39.07,40.79,124200.4,4967941.9235,33068
1715126400000,2024-05-08,EGLDUSDT,39.24,41.31,38.91,40.09,186128.85,7430343.0915,51450
1715040000000,2024-05-07,EGLDUSDT,39.89,40.8,39.08,39.25,133738.8,5344154.0393,33710
1714953600000,2024-05-06,EGLDUSDT,41.62,43.62,39.78,39.89,227246.34,9575017.4035,67469
1714867200000,2024-05-05,EGLDUSDT,41.41,42.62,40.45,41.64,117150.53,4850164.0654,27928
1714780800000,2024-05-04,EGLDUSDT,41.5,41.97,40.73,41.41,85889.4,3555995.8416,23730
1714694400000,2024-05-03,EGLDUSDT,39.72,41.9,39.15,41.5,125151.14,5086021.4044,30112
1714608000000,2024-05-02,EGLDUSDT,38.72,40.12,37.45,39.72,113402.66,4422065.2387,25923
1714521600000,2024-05-01,EGLDUSDT,38.38,39.05,35.3,38.72,239302.22,8898152.2839,53914
1714435200000,2024-04-30,EGLDUSDT,40.09,40.53,36.59,38.37,157757.57,6001440.6162,38121
1714348800000,2024-04-29,EGLDUSDT,40.46,40.85,39.24,40.06,151115.65,6032332.6906,33547
1714262400000,2024-04-28,EGLDUSDT,41.44,42.19,40.31,40.51,74943.57,3112067.8839,18939
1714176000000,2024-04-27,EGLDUSDT,42.02,42.84,40.76,41.44,159078.94,6626593.9381,35822
1714089600000,2024-04-26,EGLDUSDT,42.83,43.34,41.7,42.0,100371.5,4267747.1842,26462
1714003200000,2024-04-25,EGLDUSDT,41.6,43.45,40.7,42.85,132966.74,5560845.0986,30033
1713916800000,2024-04-24,EGLDUSDT,43.94,45.6,41.1,41.61,188839.01,8227960.4557,42609
1713830400000,2024-04-23,EGLDUSDT,45.0,45.46,43.72,43.93,139575.59,6218997.8328,30999
1713744000000,2024-04-22,EGLDUSDT,43.34,45.41,43.24,45.01,108770.37,4844616.286,28975
1713657600000,2024-04-21,EGLDUSDT,44.43,44.77,42.67,43.35,97912.88,4279687.0504,29270
1713571200000,2024-04-20,EGLDUSDT,40.98,45.47,40.38,44.44,161016.02,6991651.6784,38041
1713484800000,2024-04-19,EGLDUSDT,40.75,41.7,37.3,40.99,178213.31,7168910.4094,51675
1713398400000,2024-04-18,EGLDUSDT,39.6,41.22,38.67,40.77,150174.58,6045972.1538,37126
1713312000000,2024-04-17,EGLDUSDT,40.32,41.11,38.21,39.59,149904.01,5968369.1943,37025
1713225600000,2024-04-16,EGLDUSDT,39.77,40.93,38.11,40.32,180758.63,7122087.271,46294
1713139200000,2024-04-15,EGLDUSDT,41.22,43.41,38.6,39.8,229959.62,9474514.0718,68663
1713052800000,2024-04-14,EGLDUSDT,37.77,49.3,36.31,41.22,392316.89,15337880.5253,110028
1712966400000,2024-04-13,EGLDUSDT,43.45,43.59,32.82,37.8,694526.14,26940234.9229,182325
1712880000000,2024-04-12,EGLDUSDT,51.84,52.39,39.1,43.44,574068.12,25997789.7438,153077
1712793600000,2024-04-11,EGLDUSDT,52.86,53.74,50.99,51.86,126962.4,6637262.1526,32353
1712707200000,2024-04-10,EGLDUSDT,53.74,54.07,50.76,52.84,187286.58,9843041.653,47248
1712620800000,2024-04-09,EGLDUSDT,56.85,57.15,53.5,53.74,149005.44,8242201.67,42607
1712534400000,2024-04-08,EGLDUSDT,54.19,57.15,53.09,56.85,151045.53,8413179.8226,40692
1712448000000,2024-04-07,EGLDUSDT,54.63,55.19,53.46,54.19,95692.14,5217438.8714,26834
1712361600000,2024-04-06,EGLDUSDT,53.61,54.99,53.42,54.64,80244.86,4359021.0108,19646
1712275200000,2024-04-05,EGLDUSDT,54.72,54.8,51.38,53.58,119367.81,6343095.5384,34292
1712188800000,2024-04-04,EGLDUSDT,53.59,55.9,52.71,54.74,143806.19,7847970.1005,35580
1712102400000,2024-04-03,EGLDUSDT,53.64,55.74,51.87,53.61,159106.77,8623550.4186,43846
1712016000000,2024-04-02,EGLDUSDT,57.59,57.59,52.23,53.63,260310.61,14033233.2757,70898
1711929600000,2024-04-01,EGLDUSDT,60.19,60.48,55.68,57.6,241220.56,13887720.1882,66581
1711843200000,2024-03-31,EGLDUSDT,59.0,60.59,58.73,60.2,86706.34,5196930.4844,28842
1711756800000,2024-03-30,EGLDUSDT,60.93,61.3,58.58,58.99,108927.75,6536438.2725,30764
1711670400000,2024-03-29,EGLDUSDT,61.24,62.13,59.34,60.89,173012.35,10480524.2823,48175
1711584000000,2024-03-28,EGLDUSDT,60.98,61.75,59.36,61.24,148567.18,9053571.8731,39144
1711497600000,2024-03-27,EGLDUSDT,63.54,63.93,59.78,60.98,210305.86,12938972.5604,63628
1711411200000,2024-03-26,EGLDUSDT,63.43,64.84,61.87,63.53,250914.29,15906330.8612,69589
1711324800000,2024-03-25,EGLDUSDT,62.07,64.39,61.51,63.43,188591.55,11889916.8638,55692
1711238400000,2024-03-24,EGLDUSDT,59.55,62.38,58.98,62.04,115994.06,7026940.8169,36882
1711152000000,2024-03-23,EGLDUSDT,58.89,61.16,58.1,59.55,113295.23,6814632.9364,38701
1711065600000,2024-03-22,EGLDUSDT,60.25,61.48,56.85,58.89,175588.11,10329752.412,63637
1710979200000,2024-03-21,EGLDUSDT,61.03,62.25,59.07,60.26,195413.02,11901533.5789,67883
1710892800000,2024-03-20,EGLDUSDT,55.0,61.4,53.83,61.01,286029.22,16487881.8802,100151
1710806400000,2024-03-19,EGLDUSDT,60.45,61.08,53.82,55.02,421820.06,23865291.4674,136329
1710720000000,2024-03-18,EGLDUSDT,64.72,65.08,59.38,60.41,248186.63,15384358.4111,87512
